day,contract_address,name,total_supply,total_stablecoin_supply
2025-06-22,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,26844207.913897,317105678.4610648
2025-06-22,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-22,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,12810407.095081998,317105678.4610648
2025-06-22,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2479409.996818684,317105678.4610648
2025-06-22,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,71566334.35817246,317105678.4610648
2025-06-22,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3188645.753028746,317105678.4610648
2025-06-22,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-21,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3191660.3539795196,317105678.4610648
2025-06-21,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-21,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,26957443.913896002,317105678.4610648
2025-06-21,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-21,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,43114428.82625303,317105678.4610648
2025-06-21,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,840459.8450450001,317105678.4610648
2025-06-21,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,72022499.40735042,317105678.4610648
2025-06-21,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2443463.3282340867,317105678.4610648
2025-06-21,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,12910182.108209997,317105678.4610648
2025-06-21,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-20,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,72816403.35461895,317105678.4610648
2025-06-20,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2502823.1561058075,317105678.4610648
2025-06-20,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,11826498.177068997,317105678.4610648
2025-06-20,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-20,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-20,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3215267.821907553,317105678.4610648
2025-06-20,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-20,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,842810.3888800001,317105678.4610648
2025-06-20,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,26870624.254702,317105678.4610648
2025-06-20,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,42960289.52578402,317105678.4610648
2025-06-19,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-19,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,43561682.444865026,317105678.4610648
2025-06-19,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-19,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,25463596.045756,317105678.4610648
2025-06-19,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,11625163.769777996,317105678.4610648
2025-06-19,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-19,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,73438352.02249458,317105678.4610648
2025-06-19,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2505097.599008245,317105678.4610648
2025-06-19,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,841272.6607600001,317105678.4610648
2025-06-19,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3326828.4653483876,317105678.4610648
2025-06-18,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,759438.4448300002,317105678.4610648
2025-06-18,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3740036.738256772,317105678.4610648
2025-06-18,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,41763176.79399002,317105678.4610648
2025-06-18,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-18,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,18856354.871149,317105678.4610648
2025-06-18,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-18,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-18,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,12025374.497418996,317105678.4610648
2025-06-18,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2489436.11394746,317105678.4610648
2025-06-18,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,73987113.02307707,317105678.4610648
2025-06-17,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-17,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,11547353.847459996,317105678.4610648
2025-06-17,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2506723.819588696,317105678.4610648
2025-06-17,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,73964164.50169444,317105678.4610648
2025-06-17,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-17,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,817611.6369440001,317105678.4610648
2025-06-17,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,4055061.606942585,317105678.4610648
2025-06-17,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-17,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,41747545.66884502,317105678.4610648
2025-06-17,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,15225327.563455,317105678.4610648
